,train_roc,train_prc,train_precision,train_recall,train_loss,valid_roc,valid_prc,valid_precision,valid_recall,valid_loss
123,[0.9404936031320914],[0.9630170221829754],[0.8707403055229143],[0.9353698560969452],0.3220146,[0.9297655263459993],[0.9545760647034581],[0.8715596330275229],[0.9576612903225806],0.34512
124,[0.9398409907158487],[0.9628732024210885],[0.889641334336594],[0.8954809391567786],0.31441733,[0.9295287567443462],[0.9551434891718023],[0.8791423001949318],[0.9092741935483871],0.33332428
125,[0.9427287782465814],[0.9646111363523787],[0.9027137736815156],[0.8901792476647311],0.3076015,[0.9312794168292962],[0.9559968541598802],[0.8895463510848126],[0.9092741935483871],0.32486808
126,[0.9408676450698349],[0.9634151943450294],[0.9367866549604916],[0.8081292602878061],0.33763006,[0.932004075307083],[0.9571314971795362],[0.9121621621621622],[0.8165322580645161],0.3343753
127,[0.941909987222288],[0.9640394252665052],[0.8617119190059825],[0.9454683160817975],0.3274655,[0.9291556652508323],[0.9537913662505952],[0.8720292504570384],[0.9616935483870968],0.3617214
128,[0.9412533408007254],[0.9634879423739823],[0.880307028064284],[0.9265337036101995],0.3185847,[0.9296435541269659],[0.9542759155000687],[0.8785046728971962],[0.9475806451612904],0.34521165
129,[0.943640351393239],[0.9651840986287055],[0.8912506178942166],[0.9103761676344357],0.30825025,[0.9315377109401906],[0.955630285128085],[0.8850574712643678],[0.9314516129032258],0.33150542
130,[0.9408419843137703],[0.9630098591537215],[0.9001277139208174],[0.8896743246654885],0.3112348,[0.9289547698312477],[0.9535483211062488],[0.8871287128712871],[0.9032258064516129],0.3318891
131,[0.9427129783924109],[0.9646548833418309],[0.8933333333333333],[0.8964907851552638],0.30710503,[0.9293780851796579],[0.9546781578060592],[0.888015717092338],[0.9112903225806451],0.33272362
132,[0.9436269047088384],[0.9652740433484401],[0.8837490917897796],[0.921232012118152],0.3088505,[0.9304256112960623],[0.9552426410526723],[0.8773946360153256],[0.9233870967741935],0.33953488
133,[0.9378480800319762],[0.9613758626562448],[0.9357825567502986],[0.7909618783135571],0.35229817,[0.9272112845827116],[0.9526573568739392],[0.9157175398633257],[0.8104838709677419],0.3496638
134,[0.9407735182790304],[0.9633011738839514],[0.8898514851485149],[0.9075990911386014],0.31296235,[0.932348467454942],[0.9560447202237295],[0.890625],[0.9193548387096774],0.33006227
135,[0.9422784263748647],[0.9641374075863359],[0.858965595807701],[0.9517798535723302],0.3298923,[0.9284381816094592],[0.9532067590910575],[0.864963503649635],[0.9556451612903226],0.36935043
136,[0.9422602733509239],[0.9643673987289428],[0.920824295010846],[0.8573592527139611],0.31661072,[0.9305978073699921],[0.9551123785350462],[0.9024896265560166],[0.8770161290322581],0.32622254
